"nodeId","nodeType","x","y","width","height","baseX","baseY"
"blacksmith_unlock_jewelcrafting","skill","115","32","28","28","112","26"
"blacksmith_unlock_runecrafting","skill","307","32","28","28","304","26"
"blacksmith_unlock_forge_engineering","skill","499","32","28","28","496","26"
"final_blacksmith_trial","branch","356","152","28","28","356","152"
"blacksmith_razor_steel","skill","23","204","28","28","20","198"
"blacksmith_heavy_impact","skill","69","204","28","28","66","198"
"blacksmith_personal_weapon_fit","skill","115","204","28","28","112","198"
"blacksmith_clean_weapon_profile","skill","161","204","28","28","158","198"
"blacksmith_second_weapon_socket","skill","207","204","28","28","204","198"
"blacksmith_firm_armor_fit","skill","253","204","28","28","250","198"
"blacksmith_dampening_layer","skill","299","204","28","28","296","198"
"blacksmith_iron_stance","skill","345","204","28","28","342","198"
"blacksmith_anti_stun_assembly","skill","391","204","28","28","388","198"
"blacksmith_second_defense_socket","skill","437","204","28","28","434","198"
"blacksmith_gem_settings","skill","483","204","28","28","480","198"
"blacksmith_rune_marking","skill","529","204","28","28","526","198"
"blacksmith_stable_mount","skill","575","204","28","28","572","198"
"blacksmith_thin_metalwork","skill","621","204","28","28","618","198"
"blacksmith_base_seal","skill","667","204","28","28","664","198"
"blacksmith_weapon_master_path","branch","84","298","28","28","84","298"
"blacksmith_armor_master_path","branch","306","298","28","28","306","298"
"blacksmith_setting_master_path","branch","528","298","28","28","528","298"
"blacksmith_weapon_path","branch","84","332","28","28","84","332"
"blacksmith_armor_path","branch","306","332","28","28","306","332"
"blacksmith_precision_path","branch","528","332","28","28","528","332"
"blacksmith_weapon_blades","skill","87","384","28","28","84","378"
"blacksmith_armor_forging","skill","309","384","28","28","306","378"
"blacksmith_fine_work","skill","531","384","28","28","528","378"
"blacksmith_weapon_balance","skill","87","420","28","28","84","414"
"blacksmith_reinforced_plates","skill","309","420","28","28","306","414"
"blacksmith_metal_setting","skill","531","420","28","28","528","414"
"blacksmith_sharp_edge","skill","87","456","28","28","84","450"
"blacksmith_shield_brace","skill","309","456","28","28","306","450"
"blacksmith_insert_mounting","skill","531","456","28","28","528","450"
"blacksmith_combat_grip","skill","87","492","28","28","84","486"
"blacksmith_armor_fitting","skill","309","492","28","28","306","486"
"blacksmith_minor_rune_surface","skill","531","492","28","28","528","486"
"blacksmith_weapon_socket","skill","87","528","28","28","84","522"
"blacksmith_armor_socket","skill","309","528","28","28","306","522"
"blacksmith_clean_setting","skill","531","528","28","28","528","522"
"blacksmith_basic_forging","skill","123","598","28","28","120","592"
"blacksmith_metal_knowledge","skill","235","598","28","28","232","592"
"blacksmith_even_blank","skill","347","598","28","28","344","592"
"blacksmith_simple_tempering","skill","459","598","28","28","456","592"
"blacksmith_rough_socket","skill","571","598","28","28","568","592"
"blacksmith_start","branch","356","674","28","28","356","674"
